bolsas,modo,threads,mediana_resposta_ms,speedup
100000,SEQUENCIAL,1,2372.0,1.0
100000,PLATAFORMA,2,1269.8,1.87
100000,PLATAFORMA,4,665.6,3.56
100000,PLATAFORMA,8,417.7,5.68
100000,VIRTUAL,2,1341.8,1.77
100000,VIRTUAL,4,661.8,3.58
100000,VIRTUAL,8,352.5,6.73
1000000,SEQUENCIAL,1,24349.9,1.0
1000000,PLATAFORMA,2,11410.1,2.13
1000000,PLATAFORMA,4,7215.2,3.37
1000000,PLATAFORMA,8,3873.9,6.29
1000000,VIRTUAL,2,13324.0,1.83
1000000,VIRTUAL,4,7409.2,3.29
1000000,VIRTUAL,8,4517.2,5.39
